,wind_speed,lat
598,2.68,48.730398720230646
319,15.99,13.716558455303955
420,10.29,69.18150311789688
424,22.26,11.395062397649752
587,25.84,41.8574293555441
13,23.15,-16.712542909199186
179,11.74,-18.998503094103853
495,11.41,-25.68370545136395
189,3.02,-28.826383555394397
433,16.55,-20.164518783211093
417,19.35,22.001092561204477
503,27.85,58.29466516705072
486,2.57,58.79141710992357
528,35.01,-42.57766662101477
254,18.57,31.46067924923611
582,8.61,56.414558177780115
384,4.81,3.0357044648271057
283,8.95,-31.605012760422696
396,8.16,59.96434742483214
500,7.38,-33.6429048142694
402,10.29,53.69082896447344
416,8.95,-24.73198620338837
239,4.92,39.06001879853253
469,5.03,-4.803032588764552
197,21.14,-48.71068781694481
126,11.52,23.37083820517505
41,2.68,-9.616639485234373
490,21.7,-40.435723817656715
193,2.57,0.039620638533435226
74,8.72,81.06168328858966
213,22.93,73.03589354459703
99,15.77,-17.6561207739768
178,13.76,35.39437860031765
208,9.95,60.88349800170286
438,20.69,19.29032842861278
507,10.29,61.487989676487636
82,9.95,15.594972610460546
199,9.4,-12.913268784336633
551,12.41,56.15650240231534
314,14.76,41.63145848477964
407,3.58,43.34153065284193
257,18.23,-30.389652017566284
143,6.04,15.884782655615355
573,21.03,-8.323403377726438
292,13.42,23.931433218553977
298,2.91,40.78528801407372
181,4.81,59.209314183836206
329,11.86,-20.214845387174282
525,13.65,0.15237459355535066
546,15.66,-41.281014478167975
393,16.33,-18.221892745728727
330,1.12,2.8308373610579314
45,4.14,-78.5268738910061
8,18.68,-88.03108362750156
497,6.38,9.301052296958645
387,6.15,-3.970199728345676
397,2.68,25.003050162192462
169,4.59,48.53714016847322
231,6.6,31.083912573281342
43,10.96,0.4255573609716379
516,9.51,59.50020729459993
480,17.22,44.48870078987983
472,11.18,32.24065387963927
158,27.07,70.75383421889049
55,5.82,62.369399627338
453,5.82,40.2299403884449
228,11.74,38.417549736397795
273,13.87,30.21269781199112
214,2.91,65.65890082667147
111,37.8,-67.26771345522043
274,10.96,39.088824147859924
272,7.94,7.967361970083361
371,5.82,34.22334559324038
379,4.7,64.54997884174833
349,7.16,44.38714248858878
581,14.32,42.8323054434926
164,15.88,-29.8736715996168
146,20.36,85.24999608573015
443,19.24,-10.869071446722005
177,11.63,-33.47872017501772
92,4.14,29.275420805012057
35,12.64,19.645911985459293
154,19.69,22.990000173459865
96,7.72,-25.617256087110675
548,11.86,50.806629478188
604,4.59,36.854302989291426
210,8.84,3.211304836167216
116,13.65,-7.318879887497957
512,3.24,52.10758245869536
124,0.89,40.1349419212317
40,19.24,89.29089942417716
21,12.97,26.12455103070488
244,17.67,86.5709888676285
248,5.48,5.252680641729398
317,6.6,-17.15660525649359
342,3.36,-26.62105384720505
156,6.71,9.846275499238672
225,9.51,3.676244705072492
305,5.14,7.618245263403934
391,18.12,-24.81845344073417
202,2.01,39.53241462354916
76,17.0,84.30633719590298
475,2.68,27.101432325231738
128,18.23,-35.15249666496547
284,6.93,39.356310294936854
269,2.91,66.08856868961696
24,7.61,28.956155085995373
121,13.76,31.679833703739604
222,19.01,-10.740364659712741
157,5.14,81.50476015059752
29,13.76,86.20508386327974
344,14.43,21.178308111320746
281,16.67,-41.195871733056606
354,3.58,7.3383854514673885
77,19.35,20.59060030015155
243,10.96,-17.61583598776289
1,20.02,-33.202173792924235
187,5.59,64.74344268345516
89,4.7,16.39269132478671
226,14.43,35.690649647134656
289,1.79,51.94456598843306
300,2.13,57.67093896719294
42,4.7,60.060123170525905
295,10.63,84.85054790938645
249,19.91,59.28542098916867
227,4.7,63.19547877477786
161,9.17,62.94785234410978
455,3.69,-33.37103867408455
73,23.71,-70.62934372648006
359,15.21,6.429307952776385
69,9.17,48.275131675599965
91,15.21,81.43667678591245
242,5.82,41.71079702326779
558,2.57,63.33487354276028
6,23.26,-54.01752568161985
18,8.84,66.35494584192057
78,13.98,0.05530631633961036
476,8.84,7.0306290074722
521,12.08,39.589994231303
513,17.22,22.56636190886937
223,27.07,-56.450960063814115
593,9.73,28.04309919379357
576,8.72,45.9852750268204
64,8.05,28.710032751688328
296,20.36,-3.8641946631304336
565,11.07,-17.512646957048574
19,2.91,15.697419421341053
171,6.6,-25.64754306560809
66,12.41,-84.58083851122562
54,12.75,-2.4651477500443377
167,4.7,-8.811058105508494
159,5.26,59.04627787067005
541,6.38,23.65490154588039
119,4.7,24.468606001470327
488,24.72,16.039868025815665
522,8.39,46.22480358989142
134,9.84,81.64636708090649
62,14.43,-36.04273700506958
266,7.94,65.88544451294351
131,10.85,2.3058952934495665
588,22.37,-9.427350063643699
491,4.14,11.876338237328126
81,10.4,-32.64628486846654
531,2.8,58.80250730843528
487,9.73,42.109384111327984
332,1.79,35.2524355145311
278,9.51,18.46828668597145
224,8.61,47.38920011988248
533,7.38,14.501489303094218
301,14.99,-4.778445721357342
442,14.32,46.40263169742377
419,5.7,15.901325118453554
325,4.92,56.2860343510551
596,1.68,52.32827566205631
328,8.84,51.32949656863392
561,8.72,-6.699981423250434
554,16.44,26.000763622919763
112,4.36,65.29616973883864
553,11.86,-31.425588657344584
538,11.74,72.9380491516014
555,3.69,63.28714979352853
426,12.64,22.95021505241353
44,7.27,21.387022544893696
105,2.91,-29.093179659414478
394,23.82,-20.33666375417036
346,14.65,68.4393846512911
174,8.39,8.941913599984064
600,2.8,24.32038229394556
28,8.28,57.86786358700397
65,8.05,75.43864680679988
259,18.79,-42.09676411975297
39,12.19,47.297195965378144
498,9.17,-39.84559174993663
524,3.36,51.38160288919366
123,2.35,25.167236141496744
114,9.62,-31.85122583812873
471,0.89,-27.317560282970124
382,6.6,16.018028071413493
401,4.47,54.00088879105525
363,5.82,52.008285179830075
25,26.28,-57.19125286132221
460,14.43,57.71432453008077
304,6.93,-0.7662407635396421
247,5.59,-30.553060361368647
614,5.82,69.07263698880999
350,2.68,39.52898645746709
85,4.7,64.60105002737708
428,2.46,63.20865457876192
400,2.91,12.057146503505322
285,8.95,37.812218471138074
482,3.36,-23.50982193789267
84,10.29,18.358127812174004
474,20.8,-8.642853900465724
235,8.95,34.53760185093686
188,2.24,-15.873904549658489
250,2.8,1.0175186560661444
155,13.65,-53.464990359742615
591,9.06,-4.150083381344359
113,2.91,-1.4012227155542405
265,8.72,7.195996922911718
209,8.95,0.6014644343784994
14,19.13,-11.424122787011454
389,3.36,9.92526149016723
237,4.59,-15.296607188831501
183,7.49,-24.478553019578317
288,14.32,-32.744635514837945
218,21.59,63.209277668605175
404,12.75,-18.27500403014323
370,20.47,21.52988500794187
536,5.82,43.6510561628069
80,15.66,-32.25115026622869
192,5.82,22.019955540590853
88,18.01,50.92386150693465
458,3.24,28.855165011971692
452,2.35,57.201901993828706
137,7.72,47.56596118712037
144,10.63,29.539875371343303
478,25.61,12.819181476635618
58,13.76,9.963354016871703
461,15.77,14.294005525908847
505,5.7,-14.478272184218907
101,6.38,77.18704971757029
601,21.81,-20.80545331064107
312,3.13,-3.3195514514836764
261,8.05,55.35954754329626
323,17.34,23.62762303735262
90,24.72,60.63613516352694
473,20.13,-12.812022362270836
613,3.91,8.918254985997663
150,10.63,-81.34531577144568
335,11.97,46.942712603247635
79,4.36,68.79574644894123
106,4.59,-7.2000256115520225
277,8.39,35.68332267403646
220,1.9,54.585385529649926
16,10.74,0.8673816274546198
251,5.37,64.5078697246638
201,1.68,2.167079963570032
526,20.69,-20.18067269916681
365,5.7,17.884569763883547
234,21.14,-7.375797372591762
184,18.45,20.21272803394791
233,18.45,-43.9913160611889
327,8.05,67.48584270776541
194,37.02,-44.093525816626645
502,1.34,32.37361022682343
348,22.48,14.241508896039916
434,5.14,55.88458434937022
368,22.59,-33.690105054440004
575,10.85,59.60975808747904
110,1.12,-7.304850097638209
353,7.61,-4.531144294187925
149,10.4,28.310361838597807
413,8.72,5.989915047957567
539,14.65,63.83824824746597
203,18.9,33.9098627772853
345,10.07,43.99362755816534
465,5.82,17.17101871383359
408,10.74,37.05027192878677
355,2.68,5.779732218064495
10,24.83,36.49087336438205
20,1.79,23.83314124585556
139,10.18,66.14711047697935
532,2.68,42.41847622443703
52,18.23,86.52375113152397
186,1.34,68.71926886096375
501,2.91,-11.869159580424876
318,8.61,32.192218234585525
316,2.57,61.820024080509064
