,wind_speed,lat
34,4.03,82.32989187054758
549,2.13,1.061755973310582
200,4.36,57.09403904144222
313,10.85,-25.0832172103382
17,8.28,77.14757617009116
432,9.4,-30.196584983508515
229,5.93,-3.4512901975207204
446,26.51,21.37694357083471
584,16.55,6.475563853384074
321,7.72,51.98165386577531
439,20.8,-13.75068281919634
566,3.13,45.11038277223298
466,3.91,67.86312361527965
32,16.89,-81.3218136426672
334,11.41,30.55267536498889
51,5.03,-63.040233692657964
107,16.67,-8.406911361056828
303,4.7,12.485775079635232
523,10.29,-0.16019250057750867
175,15.88,12.31593748659769
559,19.46,-40.56211328733028
578,7.83,-13.055644797509885
542,22.7,-49.806894029055776
341,21.14,-15.87373222104496
153,14.65,59.853514233102686
68,11.63,74.9479957187368
451,6.93,-20.007588753536453
422,14.76,35.98887137981761
117,4.14,29.96321485610152
309,15.66,-8.34601458800637
147,18.68,16.42786370975142
563,11.74,68.30312629654404
287,15.77,-9.913943476373221
356,13.42,-23.01332229964018
572,2.24,64.85729016273052
216,13.09,48.77629565316877
241,19.46,41.10661814608986
381,11.41,42.048417305806346
545,3.58,44.695836291032855
267,6.15,11.459610741588818
59,20.36,-19.055894850138216
5,10.96,31.943155470095377
450,11.41,12.034187650830146
602,2.24,14.584170364758736
185,12.64,70.76200524884828
449,11.41,35.5465884194563
83,14.99,10.728400995056065
494,8.72,55.38143886074366
23,10.63,-1.7960953605690548
412,6.49,47.37116618866032
421,4.92,-10.617469492526384
445,11.86,8.893438303414456
263,10.29,30.48726924134367
351,2.91,68.46421725951801
308,20.92,61.80975609477596
467,9.51,71.02469395887692
343,10.18,22.59320710952068
168,17.22,88.56166386182426
97,1.68,35.98643241647929
260,19.69,-12.518963415760922
606,6.93,37.24215742808157
366,6.82,-16.759089828331753
517,3.13,22.835138077046143
326,2.13,67.12101071417877
534,7.27,24.363554363372394
567,18.34,-41.52095720247277
190,4.59,57.61123312382944
75,5.82,39.59937347101564
557,5.59,8.473931564444001
172,6.93,57.56786042471256
520,16.44,7.110093937938969
118,18.57,-81.84639269226783
508,6.93,38.47663904464466
357,34.34,-44.07529258809555
388,9.73,57.77197028806222
477,3.13,54.13984639956547
86,12.19,-9.155075999511483
462,1.9,22.464606954298645
108,6.93,40.148104817896545
275,4.7,40.4058958929605
608,2.57,67.88721357966719
132,9.17,13.474796355541132
103,15.43,-0.17014460906182194
280,6.93,14.323355072750815
246,16.55,10.93035299714991
441,22.82,-44.253075690227625
414,17.11,-9.792375142421932
585,4.36,63.38589178883925
109,8.05,44.24945170900719
198,19.01,36.83700922070403
484,11.74,-7.450016835323537
470,4.92,64.1065661486208
294,13.65,37.19199883093432
256,12.97,21.24336651616298
2,2.91,60.600851418604286
459,2.13,67.01160409340534
